NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
14784,794108.05,80180.00,1800.12,-5.003137384,-7.306203598,,,,,,,,,,,,
14785,787960.30,81523.78,1400.67,-5.214850152,-7.706753157,,,,,,,,,,,,
14788,803030.93,80754.67,2413.5,-4.977915896,-7.249420706,,,,,,,,,,,,
3706,805329.16,72933.71,2398.94,-5.006913198,-7.477621494,,,,,,,,,,,,
12203,804228.06,72706.41,2290.8,-4.919989373,-7.108848842,,,,,,,,,,,,
12712,809565.40,75802.53,1999.02,-5.177967706,-7.455108741,,,,,,,,,,,,
12717,800820.93,78187.06,1799.5,-4.891207391,-7.178561226,,,,,,,,,,,,
12724,809774.54,77307.64,1844.13,-4.901785281,-7.26060182,,,,,,,,,,,,
12726,790439.25,77154.53,1800.67,-5.110438754,-7.567820823,,,,,,,,,,,,
12727,809800.37,76316.49,2000.83,-4.813396852,-6.750514919,,,,,,,,,,,,
12733,803044.30,76430.69,1997.11,-4.782120369,-6.882191936,,,,,,,,,,,,
12737,809247.47,74696.00,2296.88,-5.118378134,-7.244332818,,,,,,,,,,,,
12758,803945.83,78341.91,2199.81,-5.055303843,-7.352694825,,,,,,,,,,,,
12781,802096.40,73314.03,2289.44,-4.819382183,-7.093930324,,,,,,,,,,,,
12787,804063.80,74398.99,2197.06,-4.982902014,-7.136485075,,,,,,,,,,,,
12801,790048.27,78059.34,1787.19,-5.069161455,-7.53090288,,,,,,,,,,,,
12807,801171.39,75832.53,2225.11,-5.324586673,-7.735286508,,,,,,,,,,,,
12812,809524.64,74916.57,2244.26,-5.175834547,-7.405458009,,,,,,,,,,,,
12813,795426.65,76244.23,2022.48,-5.048538758,-7.305679058,,,,,,,,,,,,
12821,803269.76,75395.97,2196.51,-4.544329813,-6.236115215,,,,,,,,,,,,
12825,809639.75,77054.02,1952.69,-5.069841093,-7.284634405,,,,,,,,,,,,
12827,809482.55,77247.47,1848.72,-4.79159518,-6.886998448,,,,,,,,,,,,
12833,803279.54,76116.53,2016.03,-5.164429251,-7.5441024,,,,,,,,,,,,
12838,790758.94,77095.75,1799.91,-4.986149112,-7.19747699,,,,,,,,,,,,
12843,800847.33,78356.10,1800,-5.130926373,-7.474771238,,,,,,,,,,,,
12879,804095.19,71607.14,2399.91,-4.806538214,-6.805799595,,,,,,,,,,,,
12908,803290.07,74716.13,2200.67,-4.952985262,-7.200412614,,,,,,,,,,,,
12946,801342.80,76910.38,2011.54,-5.156960904,-7.535055717,,,,,,,,,,,,
12959,804388.74,78301.10,2199.01,-5.025708558,-7.268978074,,,,,,,,,,,,
12962,805618.54,76631.34,2457.42,-4.879866996,-7.210267777,,,,,,,,,,,,
12966,802486.27,75930.64,2164.79,-5.023462996,-7.229053638,,,,,,,,,,,,
12967,802810.15,77931.60,1998.54,-5.174409465,-7.60354131,,,,,,,,,,,,
12969,804490.34,77975.85,2202.96,-5.001856746,-7.119295752,,,,,,,,,,,,
12979,802956.84,77741.00,1999.86,-5.052566867,-7.53437697,,,,,,,,,,,,
12983,802572.68,72072.78,2401.2,-4.921052481,-7.105301862,,,,,,,,,,,,
12989,805025.58,73375.42,2243.57,-4.965340409,-7.433492479,,,,,,,,,,,,
12995,802249.41,73185.75,2311.64,-4.921007156,-7.277866592,,,,,,,,,,,,
12999,804246.26,76990.97,2197.61,-4.940888446,-7.260097041,,,,,,,,,,,,
13009,804498.29,73907.55,2198.37,-4.908844446,-7.185881402,,,,,,,,,,,,
13015,802456.86,72116.28,2399.96,-5.06816639,-7.591271246,,,,,,,,,,,,
13031,805630.44,76560.67,2426.8,-4.805555239,-6.952837645,,,,,,,,,,,,
13034,804597.20,78071.70,2200.14,-5.016610388,-7.354026834,,,,,,,,,,,,
13042,784643.23,77075.55,1504.51,-5.224179359,-7.74632342,,,,,,,,,,,,
13044,800881.22,72854.03,2399.56,-4.815615893,-6.789493337,,,,,,,,,,,,
13046,802978.35,77833.59,1999.48,-4.929443197,-7.033942953,,,,,,,,,,,,
13056,808756.95,72784.16,2658.57,-4.846674932,-7.167850136,,,,,,,,,,,,
13066,802857.57,74332.31,2199.29,-4.821990538,-7.108149499,,,,,,,,,,,,
13069,806358.21,72982.41,2399.54,-4.959556441,-7.317296202,,,,,,,,,,,,
13072,804397.22,73542.39,2199.92,-4.777580901,-6.858910086,,,,,,,,,,,,
13113,791074.51,76346.50,1819.09,-4.772605631,-6.896119058,,,,,,,,,,,,
13116,809356.38,74659.03,2334.46,-4.945675514,-7.124409208,,,,,,,,,,,,
13123,802761.05,74590.50,2197.94,-4.666095337,-6.502495805,,,,,,,,,,,,
13129,806406.59,73048.41,2399.53,-5.113830255,-7.568034043,,,,,,,,,,,,
13150,809604.78,77217.77,1860.89,-4.847937061,-6.875304132,,,,,,,,,,,,
13153,803218.40,75877.25,2043.81,-4.977429502,-7.453333766,,,,,,,,,,,,
13159,799850.65,72180.37,2456.45,-4.756942529,-6.958990512,,,,,,,,,,,,
13178,808655.41,72718.21,2654.8,-5.003693043,-7.429741053,,,,,,,,,,,,
13204,800304.64,72193.78,2426.64,-5.000193722,-7.29934242,,,,,,,,,,,,
13219,806234.21,73099.57,2399.61,-5.16595046,-7.718467379,,,,,,,,,,,,
13254,805759.93,72796.33,2400.09,-4.86023442,-7.146261844,,,,,,,,,,,,
13287,800806.99,72959.70,2399.22,-4.684705317,-6.712512323,,,,,,,,,,,,
13292,799856.56,72115.25,2457.29,-4.943214134,-6.969082446,,,,,,,,,,,,
13308,809659.17,75710.33,2005.79,-4.9544044,-7.181214622,,,,,,,,,,,,
13318,809756.02,77846.75,1804.06,-4.280614284,-5.494249768,,,,,,,,,,,,
13332,800902.50,77030.67,1998.11,-5.035528222,-7.332016822,,,,,,,,,,,,
13394,796144.43,72360.64,2797.45,-5.075762528,-7.458225759,,,,,,,,,,,,
13458,794496.16,78158.82,1799.8,-5.22119162,-7.509595752,,,,,,,,,,,,
13488,794443.29,78333.95,1803.89,-5.192302822,-7.547537036,,,,,,,,,,,,
13513,787448.91,73188.42,1799.22,-5.000275225,-7.07751993,,,,,,,,,,,,
13617,787210.07,72988.28,1798.72,-4.662666623,-6.242779396,,,,,,,,,,,,
13624,790849.12,75865.22,1919.98,-4.795643518,-6.945665764,,,,,,,,,,,,
13629,793087.71,73804.28,2600.08,-4.849687091,-7.155746646,,,,,,,,,,,,
13638,785598.70,73945.37,1798.82,-4.864090862,-6.921383283,,,,,,,,,,,,
13651,786046.71,73376.20,1796.85,-5.260518036,-7.631028131,,,,,,,,,,,,
13667,801176.70,73181.66,2398.82,-4.817234999,-7.001899579,,,,,,,,,,,,
13668,799732.19,78152.36,1815.21,-5.15327791,-7.38558288,,,,,,,,,,,,
13687,799597.20,78166.77,1849.19,-5.024992268,-7.505329994,,,,,,,,,,,,
13702,793362.79,73706.92,2591.35,-4.965106017,-7.221609334,,,,,,,,,,,,
13705,797745.70,77808.92,2000.87,-4.917951055,-7.02909329,,,,,,,,,,,,
13711,784773.25,75392.19,1620.52,-5.536864711,-7.992057244,,,,,,,,,,,,
13739,789067.30,71631.96,2192.67,-4.869225943,-6.643801449,,,,,,,,,,,,
13757,787449.07,72990.19,1802.1,-4.893925738,-6.809007948,,,,,,,,,,,,
13779,794200.60,74066.66,2413.88,-5.088758873,-7.576884779,,,,,,,,,,,,
13783,785057.42,74540.81,1603.65,-5.327771144,-7.849072361,,,,,,,,,,,,
13814,793007.81,73870.03,2599.99,-5.104298585,-7.570903295,,,,,,,,,,,,
13819,785611.42,74052.13,1799.19,-5.329912532,-7.82850576,,,,,,,,,,,,
13833,793661.41,74197.89,2588.99,-5.025915607,-7.435255485,,,,,,,,,,,,
13834,795150.32,73842.11,2400.45,-4.900098319,-6.958190654,,,,,,,,,,,,
13841,786408.24,73511.88,1795.96,-5.506041004,-7.949899678,,,,,,,,,,,,
13892,784922.50,76032.31,1599.9,-4.873510032,-6.909964865,,,,,,,,,,,,
13913,802074.94,74095.91,2203.68,-5.249986525,-7.536901941,,,,,,,,,,,,
13919,800151.05,76172.88,2199.28,-5.070304443,-7.381355443,,,,,,,,,,,,
13923,799437.89,74926.56,2400.6,-5.212539869,-7.618450066,,,,,,,,,,,,
13924,784804.35,76173.14,1599.84,-5.322074297,-7.679659501,,,,,,,,,,,,
13943,799631.81,74685.00,2436.78,-5.180696322,-7.55513913,,,,,,,,,,,,
13945,802139.54,74040.22,2200.94,-4.745868495,-6.704644531,,,,,,,,,,,,
13962,799736.06,75574.80,2246.35,-5.21590445,-7.584708159,,,,,,,,,,,,
13983,799717.28,74688.50,2444.38,-5.188756573,-7.544172117,,,,,,,,,,,,
13984,801336.29,73434.89,2399.39,-5.127846392,-7.291776128,,,,,,,,,,,,
14004,788999.17,77839.92,1798.82,-5.273747729,-7.874573493,,,,,,,,,,,,
14032,795007.42,74717.61,2298.25,-4.926583072,-6.918841943,,,,,,,,,,,,
14077,795432.08,75999.99,2104.67,-4.89622326,-7.120812401,,,,,,,,,,,,
14135,795045.96,71553.75,2999.04,-4.874167402,-7.458743226,,,,,,,,,,,,
14162,784991.89,74300.64,1679.61,-5.281813411,-7.795800309,,,,,,,,,,,,
14168,785485.44,73877.64,1797.89,-5.167727054,-7.769924465,,,,,,,,,,,,
14172,794607.58,78607.28,1800.11,-5.079159065,-7.274695314,,,,,,,,,,,,
14194,786924.25,73394.64,1799.16,-5.476554119,-7.918010408,,,,,,,,,,,,
14207,789056.72,71513.58,2190.79,-5.115310355,-7.356358662,,,,,,,,,,,,
14262,796158.80,71720.36,2857.86,-5.007541857,-7.249260392,,,,,,,,,,,,
14287,789181.02,77934.38,1798.45,-4.801316875,-6.674570749,,,,,,,,,,,,
14319,785795.73,73517.50,1800.01,-5.16174253,-7.710441593,,,,,,,,,,,,
14343,787482.74,73108.64,1799.05,-5.107944373,-7.424218814,,,,,,,,,,,,
14363,798057.39,76780.94,2199.44,-5.067854299,-7.20845783,,,,,,,,,,,,
14408,795515.88,76300.23,2006.13,-4.543691098,-6.409249868,,,,,,,,,,,,
14411,794869.93,74688.37,2357.52,-4.942034672,-7.284704904,,,,,,,,,,,,
14417,788320.47,72476.48,2003.78,-4.87996299,-6.853583702,,,,,,,,,,,,
14418,790829.25,76498.08,1800.26,-5.132103805,-7.386368202,,,,,,,,,,,,
14424,785457.98,73941.75,1798.16,-5.186473024,-7.800741107,,,,,,,,,,,,
14436,790964.25,75881.62,1919.25,-4.950691143,-7.284922715,,,,,,,,,,,,
14437,787072.28,72240.30,1965.9,-5.350856816,-7.830155308,,,,,,,,,,,,
14494,798133.47,76768.53,2199.74,-4.995264116,-7.146444915,,,,,,,,,,,,
14503,785380.56,77746.28,1400,-5.015892427,-7.134909341,,,,,,,,,,,,
14508,794357.96,77625.12,1915.77,-5.312650581,-7.888237914,,,,,,,,,,,,
14509,790907.86,76985.84,1800.53,-5.058893818,-7.468569551,,,,,,,,,,,,
14513,795243.25,73861.59,2399.56,-5.057547677,-7.395696062,,,,,,,,,,,,
14528,785456.68,77859.87,1399.3,-5.084790145,-7.301030788,,,,,,,,,,,,
14535,788320.55,72368.53,2002.87,-5.010278697,-7.029937084,,,,,,,,,,,,
14549,785621.50,76877.97,1599.88,-5.356053384,-7.872586573,,,,,,,,,,,,
14554,796209.17,72440.12,2798.24,-4.911263692,-6.934137778,,,,,,,,,,,,
14555,785447.66,76218.17,1599.92,-5.460536995,-8.015340271,,,,,,,,,,,,
14637,797873.97,77780.85,1999.38,-5.19279381,-7.4429353,,,,,,,,,,,,
14638,801257.77,75870.03,2219.87,-5.047476998,-7.267161315,,,,,,,,,,,,
14641,788763.40,71460.28,2220.52,-4.972448459,-6.966188201,,,,,,,,,,,,
14721,800084.43,76265.12,2199.2,-5.132652199,-7.499793814,,,,,,,,,,,,
14722,802512.32,74541.67,2198.54,-5.158608079,-7.474148869,,,,,,,,,,,,
14737,800644.62,77174.67,2009.57,-5.115482627,-7.349466693,,,,,,,,,,,,
14798,794559.44,78479.48,1799.66,-4.881291841,-7.020743311,,,,,,,,,,,,
